Checklist,Requisito,Título do Issue,Etiquetas do issue,Link GitHub
"label:""chk 10 web""","label:""R 4.1""",R 4.1 - 10 Aspetos - Existem formulários em PDF,NOK,https://github.com/a11y-PT/report_104/issues/11
"label:""chk 10 web""","label:""R 4.1""",R 4.1 - 10 Aspetos - A etiqueta não está visível,NOK,https://github.com/a11y-PT/report_104/issues/12
"label:""chk 10 web""","label:""R 4.1""",R 4.1 - 10 Aspetos - O switch não possui etiqueta associada ao campo,NOK,https://github.com/a11y-PT/report_104/issues/13
"label:""chk 10 web""","label:""R 4.1""",R 4.1 - 10 Aspetos - Uso desnecessário do fieldset,melhoria,https://github.com/a11y-PT/report_104/issues/14
"label:""chk 10 web""","label:""R 4.1""",R 4.1 - 10 Aspetos - As etiquetas visíveis não são as que estão associadas ao campo,NOK,https://github.com/a11y-PT/report_104/issues/15
"label:""chk 10 web""","label:""R 5.3""",R 5.3 - 10 Aspetos - Imagem link têm um equivalente alternativo incorreto,NOK,https://github.com/a11y-PT/report_104/issues/6
"label:""chk 10 web""","label:""R 6.1""",R 6.1 - 10 Aspetos - Contraste entre texto e fundo conforme o requisito,OK,https://github.com/a11y-PT/report_104/issues/9
"label:""chk conteúdo""","label:""R 2.1""",R 2.1 - Conteúdo - O corpo de texto tem um tamanho inferior a 12pt (equivalente a 16px),NOK,https://github.com/a11y-PT/report_104/issues/8
"label:""chk conteúdo""","label:""R 3.3""",R 3.3 - Conteúdo - Falta de identificação complementar nas hiperligações,NOK,https://github.com/a11y-PT/report_104/issues/10
"label:""chk conteúdo""","label:""R 5.2""",R 5.2 - Conteúdo - Elementos interativos com área clicável inferior à dimensão mínima recomendada de 44px CSS,NOK,https://github.com/a11y-PT/report_104/issues/4
"label:""chk transação""","label:""R 3.2""",R 3.2 - Transação - Feedback após submissão não anunciado pelo leitor de ecrã,NOK,https://github.com/a11y-PT/report_104/issues/3
"label:""chk transação""","label:""R 4.3""",R 4.3 - Transação - Mensagens de erro não associadas aos respetivos campos,NOK,https://github.com/a11y-PT/report_104/issues/7
"label:""av auto""",,Avaliação Automática - Access Monitor / Observatório (em avaliação),NOK,https://github.com/a11y-PT/report_104/issues/1
"label:""av auto""",,Avaliação automática - Rocket Validator - Existem erros de acessibilidade,melhoria,https://github.com/a11y-PT/report_104/issues/2
